"Nome";"Descrição";"Duração";"Categoria";"Categoria Padrão";"Tipo de Preço";"Preço Padrão";"Preço Promocional";"Custo Médio dos Produtos";"Custo Médio dos Produtos para Profissional";"Descartáveis e outras despesas";"Custo Operacional para Estabelecimento";"Custo Operacional para Profissional"
"Aplicação de Coloração";"Aplicação de Coloração. Produto levado pelo cliente.";"60 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Aplicação de Henna nos Fios";"Aplicação de Henna nos Fios.";"60 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Balaiagem";"Processo francês de tintura rápido e moderno, que dá uma clareada na cor do cabelo. Por exemplo, se o tom da mecha é escuro, alguns fios são deixados mais claros. As mechas são puxadas com um pente de dentes largos ou um pincel e recebem a tintura ao ar livre, sem o uso de papel laminado ou toucas, e costuma-se passar mais produto nas pontas, que ficam mais claras que as raízes.";"1h e 30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Cauterização Capilar";"Cauterização Capilar";"45 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Coloração / Tonalização";"Tintura dos Cabelos com produtos do Salão de Beleza.";"60 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Coloração Inoa";"A Coloração Inoa é sem amônia e sem odor. Oferece cobertura de até 100% dos fios brancos com máximo brilho e maciez, sem agredir o couro cabeludo.";"60 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Corte a Máquina";"Corte a máquina.";"30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Corte Feminino";"Higienização e Secagem.";"45 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Corte Infantil";"Corte Infantil";"30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Corte Masculino";"Higienização e Secagem.";"30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Decapagem / Descoloração";"Descolorir todo o cabelo. Essa técnica remove toda a cor do cabelo, seja a natural, seja a coloração.";"2h";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Escova e Prancha";"Lava-se os Cabelos, Escova-se e passa a Prancha.";"60 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Escova Portier";"A Escova Portier é um realinhamento térmico que trata através da reconstrução dos fios.";"60 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Escova Progressiva sem Formol";"A escova progressiva sem formol alisa até 100% do cabelo. Conforto na aplicação, sem a ardência nos olhos e nas vias respiratórias. Além de ser compatível com qualquer tipo de química.";"1h e 30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Escova Simples";"Lava-se os Cabelos e realiza a Escova.";"30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Hidratação";"Hidratação";"30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Hidratação com Ampolas";"Diversas marcas de produtos para você escolher.";"60 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Hidratação Penetraitt";"Penetraitt é um tratamento fortificante e restaurador, recomendado para os cabelos extremamente danificados pelo excesso de tratamentos químicos e calor das ferramentas térmicas. Deixa os cabelos com brilho, recuperado dos danos e fortalecido.";"60 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Higienização";"Lavar os cabelos.";"20 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Higienização + Secagem";"Lavar e secar os cabelos.";"20 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Luzes";"Técnica similar à do reflexo. A diferença é que as mechas que recebem a coloração são bem mais fininhas.";"1h e 30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Mechas";"Clareamento ou coloração de mechas largas. Normalmente os tons contrastam com a cor natural dos fios.";"1h e 30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Mechas Californianas";"Mechas californianas começam de 3 a 4 cm da raíz e se espalham pelo comprimento do cabelo.";"1h e 30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Mechas Invertidas";"Técnica pode ser utilizada para escurecer cabelos claros ou para disfarçar cabelos grisalhos, deixando-os com aspecto natural.";"1h e 30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Piastra - Chapinha - Prancha";"Somente Pranchar os Cabelos.";"20 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Reconstrução Capilar";"Reconstrução Capilar";"60 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Reflexo";"É usado para dar mais de uma tonalidade ao cabelo. Pequenas mechas recebem a tintura e são envolvidas em papel laminado. Normalmente é usada uma touca plástica para separar as mechas. O reflexo deve ser feito novamente sempre que o fio crescer e aparecer a raiz com outra cor.";"1h e 30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Relaxamento Capilar";"Relaxamento dos fios do cabelo. Promove redução de volume e maciez.";"2h";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Secagem";"Somente Secar. O cliente já chega ao estabelecimento com os cabelos lavados.";"20 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Strong";"Mechas bem grossas a partir da raiz dos cabelos. Essa técnica destaca as mechas mais que qualquer outra.";"1h e 30 min";"Cabelo";"Cabelo";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Baby Liss / Cachos";"Cachos nos cabelos. Técnica pode ser realizada manualmente ou com babyliss. Os cachos estão em alta e dão um ar informal ao visual.";"60 min";"Cabelo - Penteados";"Cabelo - Penteados";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Penteado";"Penteado";"60 min";"Cabelo - Penteados";"Cabelo - Penteados";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Axilas";"Depilação com cera da região das Axilas. Com a depilação, os pelos crescem mais uniformes e finos, além de demorarem mais tempo para crescer.";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Axilas com Linha";"Depilação de Axilas com Linha.";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Braços";"Depilação Braço";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Buço";"Depilação com cera do Buço. Ideal para mulheres que estão incomodadas com pelos no rosto.";"20 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Buço com Linha";"Técnica retira os fios pela raiz, evitando flacidez e manchas escuras, característicos das outras formas de depilação.";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Meia Perna";"Meia Perna";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Meia Perna + Virilha";"Meia Perna + Virilha";"60 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Meia Perna + Virilha + Axila";"Meia Perna + Virilha + Axila";"60 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Perna Inteira";"Perna Inteira";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Perna Inteira + Virilha";"Perna Inteira + Virilha";"60 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Perna Inteira + Virilha + Axila";"Perna Inteira + Virilha + Axila";"60 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Rosto com Linha";"Técnica retira os fios pela raíz, proporcionando uma pele mais clara e macia por mais tempo.";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Rosto Feminino";"Depilação de Rosto Feminino.";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Virilha Completa";"Depilação Virilha Completa";"60 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação de Virilha Simples";"Depilação com cera da virilha.";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação outras regiões com cera";"Depilação com Cera";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação outras regiões com linha";"Permite um design moderno sem dor, totalmente confortável.";"30 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação Tricotomia";"Depilação Tricotomia";"45 min";"Depilação";"Depilação";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação Masculina - Abdômen";"Depilação de Abdômen, com cera.";"30 min";"Depilação Masculina";"Depilação Masculina";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
"Depilação Masculina - Axilas";"Depilação Masculina - Axilas";"30 min";"Depilação Masculina";"Depilação Masculina";"Preço Fixo";"0,00";"";"0";"0";"0,00";"0,00";"0,00"
